name,map_pid,map_revision,description,format,framerate,height,asset_type,mime_type,bitrate,video_bitrate,video_bitrate_mode,codec,video_mode,width,audio_bitrate,audio_codec,audio_mode,map_link
h264_hi,p00kfrwt,3,Created for MPS. Web rendition.,MPEG4 part 14,25,384,audio_video,video/mp4,1500,1404,CBR,h264,SD,688,96,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00kfrwt/media_profile_groups/
h264_400,p00l8ht4,2,Created for MPS. Web rendition.,MPEG4 part 14,25,224,audio_video,video/mp4,512,448,CBR,h264,SD,400,64,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l8ht4/media_profile_groups/
h264_200,p00l8ht6,2,Created for MPS. Web rendition.,MPEG4 part 14,12.5,224,audio_video,video/mp4,176,128,CBR,h264,SD,400,48,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l8ht6/media_profile_groups/
h264_med,p00l8htd,2,Created for MPS. Web rendition.,MPEG4 part 14,25,360,audio_video,video/mp4,800,720,CBR,h264,SD,640,80,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l8htd/media_profile_groups/
h264_lo deprecated,p00l8htq,3,Created for MPS. Web rendition.,MPEG4 part 14,25,288,audio_video,video/mp4,368,320,CBR,h264,SD,512,48,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l8htq/media_profile_groups/
3gp_avc1_sd,p00l9kdh,3,Created for WFE. 800kbps asset intended for Nintendo Wii Streaming,MP4 Layer 2,25,272,audio_video,video/mp4,771,675,CBR,h264,SD,480,128,AAC-HE V1 (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kdh/media_profile_groups/
3gp_mpeg4_med,p00l9kfp,3,Created for WFE. 200kbps asset intended for mobile flash streaming and OMA download. Launched on the N95. Previously known as 'Wi-Fi',3GPP release 6,25,176,audio_video,video/mp4,276,220,CBR,h264,SD,320,56,AAC (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kfp/media_profile_groups/
flv_avc1_hd,p00l9kg3,6,Created for WFE. 2800kbps HD asset intended for PC iPlayer and IPTV Flash streaming and Adobe Air Download.,MPEG4 part 14,25,720,audio_video,video/mp4,2800,2700,VBR,h264,720p,1280,96,AAC-HE V1 (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kg3/media_profile_groups/
flv_avc1_high_stb,p00l9kg4,3,Created for WFE. 1500kps Anamorphic asset intended for Flash streaming on IPTV set-top boxes,MPEG4 part 14,25,576,audio_video,video/mp4,1500,1404,VBR,h264,SD,720,112,AAC-HE V1 (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kg4/media_profile_groups/
flv_avc1_high_stbx,p00l9kg6,3,Created for WFE. 1500kbps asset intended for streaming on iOS devices (such as iPad),MPEG4 part 14,25,576,audio_video,video/mp4,1500,1404,VBR,h264,SD,720,128,AAC-HE V1 (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kg6/media_profile_groups/
flv_avc1_high,p00l9kg7,3,Created for WFE. 1500kbps asset intended for Flash streaming and Adobe Air Download.,MPEG4 part 14,25,468,audio_video,video/mp4,1500,1404,CBR,h264,SD,832,96,AAC-HE V1 (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kg7/media_profile_groups/
